overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
5.0,True,"12 17, 2015",A2DABQ8D1XJT05,B00KWEH61U,Maryann,"Love this 3ds game. I made a zombie Togepi with it, and I only just started the game. I was hoping to improve my skills, but I just get side-tracked with creativity. Haha.",Love this 3ds game,1450310400,,,
5.0,True,"12 28, 2014",ANALWGWPY8HEA,B003S2JI82,John,Fun game,fun game,1419724800,,{'Platform:': ' Nintendo Wii'},
5.0,True,"09 2, 2013",AZC9D5RVK7GR6,B00DTWES6I,Tye D. Reed,This game is so fun.  I think it is the best Splinter Cell I have ever played.  The game has a side missions also that are super fun like waves of guys that you have to use your gagets to kill.  It is great....great story great everything..sharp game.  You will like it for sure.,Wow sooooo awsome,1378080000,,"{'Edition:': ' Deluxe', 'Platform:': ' PC Download'}",
5.0,False,"01 15, 2018",A9SIXGGYKDBD,B01GKF7T9S,Jaguar 10,"I hated the first game but absolutely love this one!!  Having a ball running all over San Fran.  Marcus is an engaging protaganist and the voice acting is great.  Side quests are kind of repetitive but still fun.  Love the varied vehicles, outfits, hidden treasures, the crazy population (topless dancers and bums wearing garbage bags to name a few) and the gorgeous scenery.  Way better than Watchdogs 1.  I'm starting on my second playthrough after downloading some extra DLC.",Don't let Watchdogs 1 Deter You - this game is GREAT!,1515974400,,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
5.0,True,"04 9, 2015",A1WDH8O30ZC16S,B00B67ZTUW,Atomic Kitty,Love the Tales games. Glad I purchased this one.,"Great game, interactive for two players as well.",1428537600,,{'Color:': ' Playstation 3'},
5.0,True,"09 2, 2017",AWY047UL26IP9,B00BGA9WK2,Gordan Radivojevic,"Great Product, Thank you",Five Stars,1504310400,,,
5.0,True,"09 3, 2011",A22KJ0LH25EJQN,B000ZKA0J6,Turbo x Knight,"True to it's developer's (Blizzard) reputation, this game is simply the best in its genre.  Starcraft 2 will keep you occupied for months on end.  The single-player campaign is excellent and offers both a great storyline as well as an excellent user interface.  Back that up with a comprehensive multi-player component (battle.net) which offers very competitive play, an excellent achievement system, and a solid social gaming structure, and you're golden.

I've honestly logged hundreds of hours in playing Starcraft 2 and am looking forward to the many more to come.  :P",Nothing but the best,1315008000,,{'Format:': ' Video Game'},
5.0,True,"05 4, 2016",A1Z23O6WTLQXYR,B00DJYKAD6,Joel R. Almodovar,excelent,Five Stars,1462320000,,{'Format:': ' Video Game'},
4.0,False,"05 8, 2011",A31GUSMTXJN8FE,B0010AYJXI,H. Jones Jr,"Light and dark play a key role in Remedy's long awaited Alan Wake.  While at no point did I find Alan Wake to be all that scary, what I did find was a good story, combined with some great action sequences.  Unfortunately these action sequences do begin to feel a little repetitive and the facial modeling and animation of the characters are not very good looking.  It's not perfect, but it stands alone as a pretty unique thriller.

Dark and Light:

I shall try to keep this review free of spoilers, but I may let a few through just to warn you.  The basic premise of the game is that you are Alan Wake, a struggling author who is on a trip to Bright Falls, a sleepy town in the pacific northwest to try and get inspiration for your next novel.  Before you know it Wake and his wife become embroiled in what looks like one of Wake's novels come to life.  The story is pretty good, with a fair amount of twists and turns.  Best of all it's presented in an episodic format so it feels a lot like a TV show, like the Twilight Zone.  You'll spend most of the game at night fighting your way through the ""Taken"", which appear to be supernatural, dark representations of people living in Bright Falls.  Wake's wife is taken in the beginning of the game and you'll spend the game trying to get her back and trying understand the mystery of Bright Falls, all the while wondering if Wake is just crazy.  Central to the game is the theme of dark and light, with light from your flashlight being your primary weapon against the dark things in the night.

Additionally, other sources of light serve as safe zones and additional weapons, but most of the time you will be using a flashlight to destroy the taken's shield of darkness and then a conventional gun to finish them off.  Most of the game plays out as a third person shooter, but occasionally you will also get to use a car or truck.  Controls for the vehicles sometimes feel a little sluggish, but they get the job done.  Otherwise the control is pretty typical for an over the shoulder third person shooter.  Fighting the taken is fun and satisfying, and can get pretty hairy sometimes.  I would say the challenge is decent, but not much more so than any other TPS.

An Audio/Visual Feast, for the Most Part:

The lighting effects in Alan Wake are great and for the most part the game looks great.  The way the light of your flashlight affects the appearance of the environment is fairly striking, and in these moments I feel like it is one of the best looking games on the 360.  The inky blackness of the night surrounding the few light sources in the game, combined with patches of fog really sell the chilling, isolated atmosphere of the game.  The game really falls apart visually when you look at the characters' faces however.  The facial detail and appearance of the characters looks horrible.  The facial animation is not that great either.  I expected more from a story based game released in 2010, and it seriously impacts an otherwise very engrossing experience.  The audio component is just fine though music is moody and very fitting.  Voice acting is pretty well done and the sound effects are engaging.  From the sizzle of light hitting the taken to the swirling woosh noise as a new wave of taken attacks, the sound is pretty much spot on.

Haven't I Seen This Before?:

The game's biggest fault for me was that the environments aren't varied enough.  I've read other reviews that have said similar things and I must agree.  While the set pieces are good looking and moody in atmosphere, they all start to blend together in the middle of the game.  The logging camps and outbuildings all start to look the same.  I suppose this can't be helped too much given the setting of a small logging town, and to be fair it is broken up nicely by some genuinely interesting parts, such as the power plant.  This combined with the fact that you fight largely the  same taken enemies over and over lends a certain repetitious feeling to the game.  This and the jarring facial modeling was enough for me to detract a star from an otherwise good game.

Bottom Line:

Visuals:  Spectacular lighting effects and moody atmosphere make most of the game a visual treat, but are offset by some repetition of elements in the game and some pretty poor facial modeling, which is a big issue in a game centered around character and story.

Audio: The sound is great and the voice acting believable.  Many great rumbling 'poltergeist' style moments lend authenticity to the enemies in the game.

Gameplay:  The controls are solid and the action is fun and blowing away the taken is great fun.  The game suffers, however, from a lack of diverse enemies and fighting the same taken over and over gets a little too repetitive.

Story: The story is pretty good with plenty of moments when you wonder if this stuff is really happening to Wake or if he's just going crazy.  The ending is great, just don't expect it to explain everything.

Overall:  Good game start to finish, but it suffers in a lack of diversity in enemies and environments and some of the poorest facial modeling I've seen in a big title in a long time.",A Good Supernatural Thriller,1304812800,,,
5.0,False,"04 27, 2004",A6YJ36CHMDHWA,B00012TIW8,The Scholarly Serpent,"Much better environments this time around! The first Splinter Cell was pretty much 95% indoors. This one has more open & outdoor environments. And the environments like the Moving Train and Submarine base are very cool! Incredibly cool! With the new multiplayer mode & all, this game is truely unique & sets the standard for any upcoming stealth/action games.
This is one of my favorite games of all time....Lights Out! Poof poof.....Lights On! Ooops there's your dead body with a sticky shocker sticking out your neck.",Woo Hoo! Stealthiest Stealth Game ever devised.,1083024000,2,{'Platform:': ' Xbox'},
